Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source
cDNA,"Complementary DNA. A DNA copy of an mRNA or complex sample of mRNAs, made using reverse transcriptase",,"cDNA Read, cDNA Offset,
cDNA Size","cDNA Read, cDNA Offset,
cDNA Size",FALSE,Reverse Transcription,,http://www.informatics.jax.org/glossary/cdna
Transcript Identifier,Unique molecular identifier; added at cell isolation or library construction step. Determines which transcript molecule the read originated from.,UMI,,,TRUE,scRNA-seq Assay,,
UMI,Unique molecular identifier,,"UMI Barcode Read, UMI Barcode Offset, UMI Barcode Length, Median UMIs per Cell Number","UMI Barcode Read, UMI Barcode Offset, UMI Barcode Length, Median UMIs per Cell Number",FALSE,Transcript Identifier,,
Cell Identifier,Unique cell identifier. Determines which cell the read originated from,Cell Barcode,,,TRUE,scRNA-seq Assay,,
Cell Barcode,Unique cell identifier,,"Cell Barcode Read, Cell Barcode Offset, Cell Barcode Length, Valid Barcodes Cell Number","Cell Barcode Read, Cell Barcode Offset, Cell Barcode Length, Valid Barcodes Cell Number",FALSE,Cell Identifier,,
Primer,"An oligo to which new deoxyribonucleotides can be added by DNA polymerase [SO_0000112]. The type of primer used for reverse transcription, e.g. oligo-dT or random primer. This allows users to identify content of the cDNA library input e.g. enriched for mRNA","Oligo-dT, Poly-dT, Random",,,TRUE,Sequencing,,http://www.sequenceontology.org/so_wiki/index.php/Category:SO:0000112_!_primer
Spike In,A set of known synthetic RNA molecules with known sequence that are added to the cell lysis mix,"ERCC, Other Spike In, No Spike In",,,TRUE,scRNA-seq Assay,,
ERCC,The External RNA Controls Consortium (ERCC) spike in set is commonly used in single-cell experiments for normalization,,Spike In Concentration,,FALSE,Spike In,,
Spike In Concentration,The final concentration or dilution (for commercial sets) of the spike in mix [PMID:21816910],,,,FALSE,ERCC,,https://www.ncbi.nlm.nih.gov/pubmed/21816910
Platform,A platform is an object_aggregate that is the set of instruments and software needed to perform a process [OBI_0000050],"Illumina Next Seq 500, Illumina Next Seq 2500 ",,,TRUE,Device,,http://purl.obolibrary.org/obo/OBI_0000050
Technical Replicate Group,A common term for all files belonging to the same cell or library. We suggest to use a stable sample accession from a biosample archive like BioSamples.,,,,TRUE,Sequencing,,
Total Reads Number,Number of reads per cell.,,,,TRUE,Sequencing,,
Median Number Genes per Cell,Median number of genes detected per cell.,,,,TRUE,Sequencing,,
scRNA-seq Assay,Single-cell RNA-seq [EFO_0008913],,"Filename, HTAN Biosample ID, Nucleic Acid Source,Single Cell Isolation,Library Layout,Library Construction Method,Input Molecule,End Bias,Reverse Transcription,Transcript Identifier,Cell Identifier, Primer, Spike In, Platform, Technical Replicate Group, Component",,FALSE,Sequencing,Biospecimen,http://www.ebi.ac.uk/efo/EFO_0008913
scRNA-seq QC,QC pipelines downstream of scRNA-seq assay,,"Median Number of Reads or UMIs per Cell, Median Number Genes per Cell, Total Number of Cells, Component",,FALSE,Sequencing,scRNA-seq Assay,
Median Number of Reads or UMIs per Cell,Median number of reads per cell.,,,,TRUE,Sequencing,,
Median Number Genes per Cell,Median number of genes detected per cell.,,,,TRUE,Sequencing,,
Total Number of Cells,Number of sequenced cells.,,,,TRUE,Sequencing,,
HTAN Parent ID,Parent Identifier for data from which the analysis was obtained.,,,,TRUE,Individual Organism,,https://www.w3.org/ns/prov#wasDerivedFrom
HTAN ID,HTAN Participant Identifier,,,,TRUE,Individual Organism,,
Ethnicity,"An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino. The provided values are based on the categories
defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.","hispanic or latino, not hispanic or latino, Unknown, not reported, not allowed to collect",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2192217&version=2.0
Gender,"Text designations that identify gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles. [Identification
of gender is based upon self-report and may come from a form, questionnaire, interview, etc.]","female, male, unknown, unspecified, not reported",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2200604&version=3.0
Race,"An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation withina a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. 
                                                                                                                     ","white, american indian or alaska native, black or african american, asian, native hawaiian or other pacific islander, other, Unknown, not reported, not allowed to collect",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2192199&version=1.0
Vital Status,The survival state of the person registered on the protocol.,"Alive, Dead, Unknown, Not Reported",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5&version=5.0
Days to Birth,Number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days.,,,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6154723&version=1.0
Year of Death,Numeric value to represent the year of the death of an individual.,Not Applicable,,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2897030&version=1.0
Age at Index,The patient's age (in years) on the reference or anchor date used during date obfuscation.,null,,,FALSE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6028530&version=1.0
Age Is Obfuscated,The age of the patient has been modified for compliance reasons. The actual age differs from what is reported. Other date intervals for this patient may also be modified.,"true, false",,,FALSE,Patient,,
Year Of Birth,Numeric value to represent the calendar year in which an individual was born.,null,,,FALSE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2896954&version=1.0
Cause of Death,Text term to identify the cause of death for a patient.,"Cancer Related, Cardiovascular Disorder NOS, End-stage Renal Disease, Infection, Not Cancer Related, Renal Disorder NOS, Spinal Muscular Atrophy, Surgical Complications, Toxicity, Not Reported, Unknown",,,FALSE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2554674&version=3.0
Cause of Death Source,The text term used to describe the source used to determine the patient's cause of death.,"Autopsy, Death Certificate, Medical Record, Social Security Death Index, Unknown, Not Reported",,,FALSE,Patient,,
Days to Death,Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days.,,,,FALSE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6154724&version=1.0
Occupation Duration Years,The number of years a patient worked in a specific occupation.,,,,FALSE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2435424&version=1.0
Premature At Birth,The yes/no/unknown indicator used to describe whether the patient was premature (less than 37 weeks gestation) at birth.,"Yes, No, Unknown, Not Reported",,,FALSE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6010765&version=1.0
Weeks Gestation at Birth,Numeric value used to describe the number of weeks starting from the approximate date of the biological mother's last menstrual period and ending with the birth of the patient.,,,,FALSE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2737369&version=1.0
Demographics,Individual biomedical demographics attributes,,"HTAN ID, Ethnicity, Gender, Race, Vital Status, Days to Birth, Year of Death, Age at Index, Age Is Obfuscated, Year Of Birth, Cause of Death, Cause of Death Source, Days to Death, Occupation Duration Years, Premature At Birth, Weeks Gestation at Birth",,FALSE,Patient,,
